feature,gain
lag_1,173609.140625
lag_168,101278.40625
lag_24,18141.8046875
rolling_mean_3,16224.7880859375
h3_mean_count,5935.5146484375
rolling_mean_24,4785.14794921875
hour_mean_count,4641.66357421875
holiday_mean_count,4453.03173828125
weekday_mean_count,4427.05908203125
is_month_end,3715.767333984375
is_holiday,3580.670166015625
time_cos,3143.43798828125
day_cos,2994.050537109375
parent_total_lag_1,2734.253173828125
is_rush_hour,2716.503662109375
lag_48,2602.34765625
time_sin,2589.4697265625
day_sin,2521.078857421875
parent_total_lag_24,2383.92822265625
is_month_start,2173.642333984375
day_of_month,2167.595703125
parent_mean_lag_1,2144.92041015625
weekend,2088.449462890625
rolling_mean_48,2076.3828125
parent_mean_count_train,2010.7974853515625
hour,1951.14013671875
rolling_max_24,1949.41748046875
parent_mean_rolling_24,1887.9586181640625
lag_3,1761.7445068359375
is_late_night,1735.334228515625
weekday,1723.70849609375
lag_2,1705.5177001953125
week_of_month,1693.7801513671875
rolling_std_24,1653.6397705078125
rolling_mean_6,1608.6075439453125
rolling_max_48,1588.3447265625
rolling_mean_12,1508.09765625
rolling_std_48,1498.8231201171875
center_lon,1127.239501953125
center_lat,999.3717651367188
