epoch,train_loss,train_mae,train_rmse,valid_loss,valid_mae,valid_rmse
1,4.267741750600268,0.30952122807502747,0.9047876000404358,3.696961685687547,0.35585924983024597,0.9035033583641052
2,3.589349628336537,0.2547096014022827,0.8247876763343811,3.5821377803249654,0.368074893951416,0.9256517887115479
3,3.4768905668319694,0.2533513009548187,0.8147376179695129,3.2344767444358533,0.2831312417984009,0.804271399974823
4,3.37813127370977,0.25043049454689026,0.8046877384185791,3.218607445791219,0.2683902382850647,0.8143770694732666
5,3.317868964028169,0.24810872972011566,0.7971159815788269,3.2188385572662512,0.2580113112926483,0.7978387475013733
6,3.264933429375646,0.24345776438713074,0.7897337675094604,3.147124518548936,0.2065567821264267,0.7741559743881226
7,3.2406492768560797,0.2433835119009018,0.7870722413063049,3.1323432763620636,0.21859224140644073,0.767419695854187
8,3.2124001011055126,0.24228599667549133,0.7834663391113281,3.1624267333955447,0.2036634087562561,0.7922340035438538
9,3.189265462945545,0.24018825590610504,0.7801769375801086,3.1338785586236826,0.3058346211910248,0.800727367401123
10,3.1699274015158334,0.24040116369724274,0.7786345481872559,3.102706143895954,0.2250766009092331,0.7567160725593567
11,3.148622560335384,0.23883585631847382,0.7757783532142639,3.07848318413558,0.24627605080604553,0.7730265855789185
12,3.125466310204601,0.23821599781513214,0.7728646397590637,3.143753076448336,0.25998032093048096,0.7836102247238159
13,3.103679243392999,0.2368975728750229,0.7708892226219177,3.1035818263537522,0.2052176147699356,0.7592315673828125
14,3.0970603726468884,0.23636040091514587,0.7700188755989075,3.135767949113226,0.27090466022491455,0.8078755736351013
15,3.0729882813273335,0.2346636801958084,0.767986536026001,3.1443193212355314,0.2617596685886383,0.7454907894134521
16,3.049683976323333,0.2354920506477356,0.7654561400413513,3.2171872509960364,0.2156299203634262,0.7424821257591248
17,3.025879095927446,0.23332621157169342,0.7627946138381958,3.114892086710222,0.21248289942741394,0.7958816885948181
18,3.014347205173622,0.23358243703842163,0.760951578617096,3.1174797065744597,0.26533007621765137,0.7609001398086548
19,2.998611040656691,0.23274433612823486,0.7600473165512085,3.1468755651293,0.23515988886356354,0.739508330821991
20,2.9722763821942975,0.2323697805404663,0.7572933435440063,3.134147418182008,0.23765622079372406,0.7550581097602844
