epoch,train_loss,train_mae,train_rmse,valid_loss,valid_mae,valid_rmse
1,6.225712191652168,0.6120538711547852,1.2706735134124756,5.348064073547412,0.406660258769989,1.0833492279052734
2,4.853120631340778,0.4543047547340393,1.1316925287246704,4.777202208433712,0.3732289671897888,1.0557993650436401
3,4.622636383907362,0.45166659355163574,1.1032131910324097,4.704491774370251,0.4048064053058624,1.0582401752471924
4,4.571790027460366,0.4442308247089386,1.0961641073226929,4.590600648758916,0.4690650403499603,1.0997458696365356
5,4.538061221440633,0.4413653612136841,1.0932267904281616,4.563253153691148,0.3691922724246979,1.084552526473999
6,4.467026476268515,0.43844181299209595,1.0892996788024902,4.622331263878655,0.39451444149017334,1.0269052982330322
7,4.450602440558599,0.43653780221939087,1.08519446849823,5.4829670865010405,0.36999988555908203,0.9819465279579163
8,4.449151382979118,0.4361172616481781,1.0830800533294678,4.5381190983487905,0.4064501225948334,1.0300967693328857
9,4.422391353683039,0.43516847491264343,1.081823706626892,4.725132158631871,0.4141443371772766,1.0203852653503418
10,4.372399206865918,0.43442708253860474,1.0774132013320923,4.6538969883035906,0.4379937946796417,1.0303422212600708
11,4.376686316547972,0.43462076783180237,1.0795515775680542,4.847434230012802,0.38336753845214844,1.0002323389053345
12,4.33079121408589,0.43406999111175537,1.0718516111373901,4.566510601808828,0.4154817461967468,1.0982798337936401
13,4.309576285156337,0.4323655068874359,1.071999430656433,4.559081331728875,0.3954312205314636,1.0525373220443726
14,4.2961275828155605,0.4303309917449951,1.0711240768432617,4.533596105716991,0.4216253161430359,1.0269994735717773
15,4.273679040372372,0.43261879682540894,1.0678362846374512,4.682218738609051,0.5092029571533203,1.0716710090637207
16,4.226026696463426,0.4311419427394867,1.065943956375122,4.745128830565156,0.43983399868011475,1.043782353401184
17,4.189667360687798,0.42973580956459045,1.0631675720214844,4.78119702735891,0.39540427923202515,1.017714500427246
