feature,gain
lag_1,140870.140625
lag_168,104636.671875
rolling_mean_3,44357.4140625
lag_24,19207.556640625
hour_mean_count,7152.14501953125
rolling_mean_24,6236.6748046875
weekday_mean_count,5632.46484375
time_cos,5544.07080078125
h3_mean_count,5043.93994140625
day_cos,4133.25146484375
rolling_mean_6,3681.74365234375
time_sin,3548.42626953125
hour,3469.520751953125
day_sin,3365.9912109375
lag_2,3324.721923828125
weekday,3189.97607421875
weekend,2647.02197265625
rolling_std_24,2365.87841796875
center_lon,2218.10498046875
center_lat,1873.19482421875
