feature,gain
h3_mean_count,3612.262451171875
rolling_mean_48,532.216796875
rolling_mean_3,478.0333251953125
lag_168,192.19180297851562
hour_mean_count,178.2252960205078
rolling_mean_24,141.75491333007812
parent_mean_lag_1,130.86741638183594
is_late_night,126.3526840209961
parent_total_lag_24,124.19498443603516
parent_total_lag_1,106.87593078613281
weekday_mean_count,102.9158706665039
rain,98.78072357177734
precipitation,89.0541763305664
lag_24,83.2413330078125
rolling_std_48,78.35397338867188
humidity,73.99527740478516
day_cos,72.65786743164062
weather_code,71.77289581298828
rolling_max_48,71.38316345214844
parent_mean_rolling_24,69.8445816040039
rolling_mean_12,69.46858978271484
is_humid,68.76656341552734
rolling_std_24,68.48477935791016
wind_speed,68.38899993896484
day_sin,68.02566528320312
temperature,67.9624252319336
rolling_max_24,67.83126831054688
lag_2,67.19664764404297
is_hot,66.42603302001953
rolling_mean_6,66.07417297363281
hour,65.83914184570312
apparent_temperature,64.55915832519531
lag_48,62.903533935546875
lag_1,62.342472076416016
cloud_cover,61.37761688232422
weather_cloudy,57.78474807739258
time_cos,56.7859001159668
lag_3,55.03778839111328
weather_drizzle,54.68882751464844
parent_mean_count_train,54.43348693847656
time_sin,49.418392181396484
day_of_month,47.018775939941406
is_rush_hour,45.170719146728516
weekday,44.761756896972656
weather_clear,41.82648849487305
center_lon,39.346275329589844
week_of_month,30.747112274169922
center_lat,28.556196212768555
weekend,17.74216651916504
