model,model_family,objective,train_rows,valid_rows,test_rows,valid_rmse,valid_mae,valid_pcc,valid_nonzero_rmse,valid_nonzero_mae,valid_nonzero_pcc,valid_nonzero_within_1,valid_nonzero_within_2,valid_high_rmse,valid_high_mae,valid_pcc_y_ge_4,test_rmse,test_mae,test_pcc,test_nonzero_rmse,test_nonzero_mae,test_nonzero_pcc,test_nonzero_within_1,test_nonzero_within_2,test_high_rmse,test_high_mae,test_pcc_y_ge_4
v1,project,reg:squarederror,3716640,801000,672840,0.7171256043030283,0.1137416097062703,0.9598690741898502,3.5451954993219688,1.851999910971462,0.9534325625128756,0.5915740770910038,0.7567039197158776,5.977774585056644,3.7663767452349624,0.9398757962993405,0.7302342265753211,0.11406754254106467,0.9620677834321638,3.570045793075991,1.8279042226884499,0.9560871324454736,0.589752277689933,0.7613884496649349,6.060472992733886,3.726822023503217,0.9435061741528721
v2,project,reg:squarederror,3716640,801000,672840,0.7184287011150824,0.11277267595506257,0.9599271435265216,3.556103064982915,1.839564118515945,0.9535041171437222,0.5911505001466227,0.7609396891596885,6.014978747564201,3.7667226871672397,0.9397413799951506,0.7201748033478345,0.11275190001960238,0.9626843458775327,3.521641149893765,1.8034493054261138,0.9568951525040681,0.5944206008583691,0.7673744446954296,5.989355653793941,3.6926907841302703,0.9446616847710056
v3,project,reg:squarederror,3716640,801000,672840,0.7234363149934746,0.11279999193199176,0.959310246913425,3.583994497759303,1.844480806201104,0.9527044277605362,0.5932358020266527,0.7611677690528168,6.065879560258878,3.7809974347899162,0.9386221813933723,0.72615937941012,0.11265544778029604,0.9621037092500818,3.553003291217415,1.8057172840134916,0.9561711665310965,0.594307657555907,0.7677885701377908,6.0403376465700305,3.701806131571923,0.9437288368249894
HistoricalAvg,baseline,baseline_forecast,3716640,801000,672840,0.7391730297629762,0.09181448189762796,0.955884907601075,3.71680304089132,1.9201155604791849,0.9489350029302077,0.6118731875794207,0.7760255449480303,6.361719272423401,3.9936198186976686,0.9323186626285268,0.8160034242320722,0.09717515803658125,0.9516505793207068,4.05785567010991,2.012120071279773,0.9441008259176048,0.6035690083578044,0.7710639259091936,7.024481449439309,4.302754654763341,0.9254464248142252
SeasonalNaive,baseline,baseline_forecast,3716640,801000,672840,1.0482188686073006,0.11503495630461923,0.9249971022885415,5.258096992475028,2.5003421198396922,0.9137516966951292,0.6248411586458571,0.7563455084552475,9.024469078145943,5.372534772680091,0.8863859817169671,0.8788919744702312,0.10759170085012781,0.9443630713037586,4.315763992498066,2.24286574806114,0.9374480511963901,0.625743543407876,0.7671862058579926,7.369469745417801,4.644709856436241,0.9197604619991646
