h3_resolution,parent_resolution,avg_edge_km,avg_area_km2,grid_count,panel_rows,train_rows,valid_rows,test_rows,train_zero_ratio,valid_zero_ratio,test_zero_ratio,best_iteration,training_seconds,valid_rmse,valid_mae,valid_pcc,valid_nonzero_rows,valid_nonzero_rmse,valid_nonzero_mae,valid_nonzero_pcc,valid_nonzero_within_1,valid_nonzero_within_2,valid_high_rows,valid_high_rmse,valid_high_mae,valid_pcc_y_ge_4,test_rmse,test_mae,test_pcc,test_nonzero_rows,test_nonzero_rmse,test_nonzero_mae,test_nonzero_pcc,test_nonzero_within_1,test_nonzero_within_2,test_high_rows,test_high_rmse,test_high_mae,test_pcc_y_ge_4
6,5,3.724532667,36.12906216441245,281,364176,260768,56200,47208,0.9096246471959749,0.901459074733096,0.9004617861379427,349,10.218171291002363,5.013500253823778,0.5889098816742339,0.9879486655037977,5538,15.9510430720322,5.031188665157666,0.986807564953907,0.5133622246298303,0.6579992777175876,2239,25.024224328484387,11.054090508270232,0.9846247793644789,4.979178359991041,0.556569968278382,0.9891474720399143,4699,15.763791058057716,4.673814695835063,0.9881661207309603,0.5194722281336455,0.6792934666950415,1909,24.685477459492713,10.191309953747526,0.9862830682941255
7,6,1.406475763,5.161293359717191,1181,1530576,1095968,236200,198408,0.946288577768694,0.9433192209991532,0.9422150316519495,349,34.86569412499375,1.8468600227538,0.22288654475571762,0.9831016708262963,13388,7.707425528919064,2.8689519616542594,0.9815923107742212,0.5526590976994323,0.7042874215715567,5073,12.391232656882007,5.9972429712942406,0.9789174050463769,1.7112720757397488,0.21705084260056148,0.9863332669693996,11465,7.070691441456925,2.735579205829954,0.9851632512448926,0.5538595726122983,0.7098124727431313,4380,11.30134671712017,5.633193324169476,0.9831547704891084
8,7,0.53141401,0.7373275975944177,4005,5190480,3716640,801000,672840,0.9630486138017134,0.9616841448189762,0.9605225610843589,348,120.49013012499927,0.7193055387975559,0.11385429977455351,0.9598464955302723,30691,3.5585025517257467,1.8473691818498978,0.9534219333999698,0.5922583167703888,0.7596037926427943,9634,6.0164754637726805,3.779931615407793,0.939645447093557,0.7250591325143235,0.1137462712769549,0.9622275340599514,26562,3.5452575358055625,1.8091544416665521,0.956330241494457,0.5939311798810331,0.7657555906934719,8289,6.0207162145117685,3.699257384143012,0.9440107770216998
9,8,0.200786148,0.1053325134272067,11024,14287104,10230272,2204800,1852032,0.969626809531555,0.9687527213352685,0.9677759347570668,348,364.30401987500227,0.3693174156322162,0.07675277894086865,0.8673090164340385,68894,1.8345052167682225,1.2024931126912457,0.8308109337596336,0.6623508578395797,0.8445147618079949,13047,3.2276150149766463,2.3047174065594196,0.7651978595774622,0.372414969126479,0.07697682739921136,0.872074959053467,59680,1.8410127885387555,1.1904843719255462,0.8373799574965547,0.6656166219839142,0.8500335120643432,11713,3.297145295784485,2.290305653931588,0.774316766478258
