feature,gain
h3_mean_count,2887.4287109375
rolling_mean_3,347.0138854980469
rolling_mean_24,298.8536376953125
lag_168,206.19180297851562
hour_mean_count,183.84410095214844
lag_24,124.82228088378906
rolling_std_24,108.87952423095703
hour,106.05886840820312
weekday_mean_count,104.2712173461914
lag_1,98.90624237060547
day_sin,91.400390625
rolling_mean_6,90.09369659423828
lag_2,89.59602355957031
weekend,89.2952651977539
day_cos,87.39317321777344
time_cos,79.65767669677734
time_sin,75.563232421875
weekday,70.4021987915039
center_lon,66.54114532470703
center_lat,53.43130111694336
