version,rmse_end,mae_end,pcc_end,nonzero_rmse_end,nonzero_mae_end,nonzero_pcc_end,within_1_end,within_2_end,pcc_y_ge_4_end,objective
v1,0.7408363773931828,0.21834124994385154,0.874562574958738,2.35097413767746,1.71280163063253,0.7708776152673014,0.43775100401606426,0.6947791164658634,0.6484137450171775,reg:squarederror
v2,0.7261896604856499,0.21139693736950382,0.8757013419896074,2.3153586076468624,1.6798314438898245,0.7732036842711107,0.44460193716040636,0.7031656035908339,0.6524678712463359,reg:squarederror
v3,0.7242510135830861,0.21193533630396455,0.8759392519169038,2.306954128080343,1.6705966303370754,0.7746952034192796,0.44731868651074885,0.7078903850696905,0.6531425925605465,reg:squarederror
